date,actual,forecast
2015-06-19,7585.876233183856,7680.744864776816
2015-06-20,5731.534529147982,5733.377718166329
2015-06-21,224.0798206278027,230.71835249036457
2015-06-22,5876.715695067264,5975.345585790753
2015-06-23,5643.382959641255,5672.0087218175895
2015-06-24,5612.039461883408,5573.915091419836
2015-06-25,5571.088789237669,5607.963754962477
2015-06-26,5950.3919282511215,6048.255134844471
2015-06-27,5863.958744394618,5755.129832888415
2015-06-28,235.5775784753363,272.79229134589656
2015-06-29,10687.598206278028,10455.682881988103
2015-06-30,10299.490582959641,10222.46604508038
2015-07-01,8062.486098654708,8586.624214587404
2015-07-02,7575.15067264574,7875.118854003458
2015-07-03,7650.572197309417,7603.095276181016
2015-07-04,5429.843946188341,5383.88631795641
2015-07-05,241.4780269058296,243.50929710054285
2015-07-06,6762.7560538116595,6439.316059160642
2015-07-07,5733.653811659193,5848.820203415711
2015-07-08,6202.354260089686,5894.815208876659
2015-07-09,6222.584753363229,5945.87525223372
2015-07-10,6336.241255605381,6253.437994250245
2015-07-11,5616.163228699552,5575.423238520404
2015-07-12,248.47264573991032,256.1705404607348
2015-07-13,9723.10941704036,9792.957343653417
2015-07-14,8377.044843049327,8422.47184595637
2015-07-15,7853.037668161435,7788.77960575679
2015-07-16,7510.2,7544.151155834859
2015-07-17,7129.450224215247,7381.95542537514
2015-07-18,5783.8403587443945,5584.559850514342
2015-07-19,267.63946188340805,261.2193049129106
2015-07-20,6582.35067264574,6308.611527054128
2015-07-21,5700.880717488789,5723.533721925159
2015-07-22,5480.168609865471,5553.83300881485
2015-07-23,5997.370403587444,5738.142442810466
2015-07-24,5920.470852017937,5903.439525392423
2015-07-25,5400.59730941704,5303.038323327764
2015-07-26,256.3811659192825,267.1356548541691
2015-07-27,9602.952466367713,9468.331199535922
2015-07-28,8174.953363228699,8158.954017142205
2015-07-29,7623.284304932736,7682.554684149479
2015-07-30,7891.348878923767,8204.532998736951
2015-07-31,9067.033183856502,8926.626861738687
